Company,Year,Quoted Boards To Date,Quoted Boards Currently,Years On Board,Age,Education,SD of Years on Board,SD of Years in Organization,SD of Age,SD of Education,Gender,
ADMINISTAFF INC (Quoted),Dec-09,3,2,9.9,56.8,1.7,3.5,3.5,2.8,8.6,0.7,100
ADMINISTAFF INC (Quoted),Dec-08,2.8,2,8.9,55.8,1.7,3.5,3.5,2.4,8.6,0.7,100
ADMINISTAFF INC (Quoted),Dec-07,2.8,2,7.9,54.8,1.7,3.5,3.5,2.4,8.6,0.7,100
AGILYSYS INC (Pioneer Standard Electronics prior to 09/2003) (Quoted),Current,3.3,1.3,7.2,59.5,2.1,4.2,4.2,2.9,11,0.6,100
AGILYSYS INC (Pioneer Standard Electronics prior to 09/2003) (Quoted),Mar-10,3.3,1.3,6.4,58.5,2.1,4.2,4.2,2.9,11,0.6,100
AGILYSYS INC (Pioneer Standard Electronics prior to 09/2003) (Quoted),Mar-09,2.9,1.5,5.4,58,1.9,4.1,4.1,3,10.4,0.6,100
AGILYSYS INC (Pioneer Standard Electronics prior to 09/2003) (Quoted),Mar-08,2.8,1.8,6.4,63.3,2.4,3.2,3.2,1.7,5.3,0.7,87.5
AIR TRANSPORT SERVICES GROUP INC (ABX Holdings Inc prior to 05/2008) (Quoted),Current,2,1.4,5.3,61.3,1.3,2.1,2.1,0.9,15.6,1.4,100
AIR TRANSPORT SERVICES GROUP INC (ABX Holdings Inc prior to 05/2008) (Quoted),Dec-09,1.9,1.3,4.2,59.3,1.3,2.1,2.1,0.6,15.6,1.4,100
AIR TRANSPORT SERVICES GROUP INC (ABX Holdings Inc prior to 05/2008) (Quoted),Dec-08,1.7,1.2,3.8,62.2,1.2,1.7,1.7,0.5,13.4,1.5,100
AIR TRANSPORT SERVICES GROUP INC (ABX Holdings Inc prior to 05/2008) (Quoted),Dec-07,1.8,1.6,3.3,64.8,1.4,1.2,1.2,0.4,11.6,1.5,100
ALBERTSONS INC (De-listed 06/2006) (Quoted),Jun-06,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
ALBERTSONS INC (De-listed 06/2006) (Quoted),Feb-05,4.2,2.6,6.5,56.9,1.5,5.9,5.9,3,8.2,0.9,45.5
ALBERTSONS INC (De-listed 06/2006) (Quoted),Jan-04,4,2.8,7.7,59.9,1.4,5.4,5.4,2.7,7,1,58.3
ALBERTSONS INC (De-listed 06/2006) (Quoted),Jan-03,3.8,2.8,7.4,59.2,1.4,5.1,5.1,2.4,7.3,1.1,63.6
ALTRIA GROUP INC (Philip Morris Cos prior to 01/2003) (Quoted),Current,3.6,2,9.3,66,3.7,10.9,10.7,1.7,7.1,1.8,88.9
ALTRIA GROUP INC (Philip Morris Cos prior to 01/2003) (Quoted),Dec-09,3.5,2.1,9.3,64.5,3.8,11.2,10.8,1.8,7.8,1.9,87.5
ALTRIA GROUP INC (Philip Morris Cos prior to 01/2003) (Quoted),Dec-08,3.4,2,8.3,63.5,3.8,11.2,10.8,1.7,7.8,1.9,87.5
ALTRIA GROUP INC (Philip Morris Cos prior to 01/2003) (Quoted),Dec-07,5.2,2,15.3,66.7,3.5,10.2,10.2,2.2,7.5,1.8,90
AMERICAN GREETINGS CORP (Quoted),Current,4.2,2.8,9,62.3,2.5,6.6,6.4,1.6,5.1,0.8,83.3
AMERICAN GREETINGS CORP (Quoted),Feb-10,4.2,2.8,8.1,61.3,2.5,6.6,6.4,1.6,5.1,0.8,83.3
AMERICAN GREETINGS CORP (Quoted),Feb-09,4,2.9,6.8,60.9,2.4,6.1,6,1.5,4.9,0.7,85.7
AMERICAN GREETINGS CORP (Quoted),Feb-08,4.6,3.3,6.1,61.4,2.4,5.8,5.7,2.7,6.1,0.7,87.5
AMERICAN INTERNATIONAL GROUP (AIG) INC (Quoted),Current,5,2.7,2.2,63,2.4,1.7,1.7,3.7,7.6,0.9,81.8
AMERICAN INTERNATIONAL GROUP (AIG) INC (Quoted),Dec-09,6,3.2,1.5,62.8,2.2,1.6,1.6,3.6,7.8,1,80
AMERICAN INTERNATIONAL GROUP (AIG) INC (Quoted),Dec-08,5.4,2.8,4.2,63.4,2.3,6.1,6.1,3.8,7.4,0.9,77.8
AMERICAN INTERNATIONAL GROUP (AIG) INC (Quoted),Dec-07,5.4,2.3,5.8,65.1,2.2,5.7,5.7,2.9,6.2,1.1,84.6
AMERICREDIT CORP (De-listed 10/2010) (Quoted),Oct-10,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
AMERICREDIT CORP (De-listed 10/2010) (Quoted),Jun-10,3.3,1.8,10.2,65.6,0.8,7.9,7.9,2.1,12.7,1,100
AMERICREDIT CORP (De-listed 10/2010) (Quoted),Jun-09,3.5,1.8,9.3,63.3,0.9,7.8,7.8,2.2,13.5,0.9,100
AMERICREDIT CORP (De-listed 10/2010) (Quoted),Jun-08,3.3,1.9,9.6,64,0.9,7.6,7.6,2.2,13.6,1,100
AMERISOURCEBERGEN CORPORATION (Quoted),Current,3.8,2.1,6.3,62.8,2.3,3.2,3.2,3,7.9,0.8,75
AMERISOURCEBERGEN CORPORATION (Quoted),Sep-10,3.6,2.1,6,61.9,2.3,3.2,3.2,3.1,8,0.8,75
AMERISOURCEBERGEN CORPORATION (Quoted),Sep-09,4,2.3,5.8,62.4,2.3,2.6,2.6,3.1,7.3,0.9,85.7
AMERISOURCEBERGEN CORPORATION (Quoted),Sep-08,4.3,2.4,5.1,62.8,2.3,2.5,2.5,3,7.7,0.8,87.5
AMETEK INC (Quoted),Current,2.9,1.5,15.3,68.7,2.3,10.1,10.1,2,3.6,0.7,87.5
AMETEK INC (Quoted),Dec-09,3.1,1.7,16.3,66.7,2.3,9,9,2,3.6,0.7,85.7
AMETEK INC (Quoted),Dec-08,3.1,1.9,15.3,65.7,2.3,9,9,2,3.6,0.7,85.7
AMETEK INC (Quoted),Dec-07,3.1,1.9,14.3,64.7,2.3,9,9,2,3.6,0.7,85.7
ANTEON INTERNATIONAL CORP (De-listed 06/2006) (Quoted),Jun-06,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
ANTEON INTERNATIONAL CORP (De-listed 06/2006) (Quoted),Dec-04,2.7,2,5.5,59.2,3,3.1,3.1,1.2,10.2,1.1,100
ANTEON INTERNATIONAL CORP (De-listed 06/2006) (Quoted),Dec-03,2.5,1.8,5.2,57.8,2.9,2.6,2.6,1.1,10.7,1.1,100
ANTEON INTERNATIONAL CORP (De-listed 06/2006) (Quoted),Dec-02,2.3,1.5,4.2,56.8,2.9,2.6,2.6,1.1,10.7,1.1,100
APRIA HEALTHCARE GROUP INC (De-listed 10/2008) (Quoted),Oct-08,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
APRIA HEALTHCARE GROUP INC (De-listed 10/2008) (Quoted),Dec-07,3.4,2,5.8,58.4,2.5,4,4,2.5,3.1,0.7,75
APRIA HEALTHCARE GROUP INC (De-listed 10/2008) (Quoted),Dec-06,3.4,2.5,4.8,57.4,2.5,4,4,2.5,3.1,0.7,75
APRIA HEALTHCARE GROUP INC (De-listed 10/2008) (Quoted),Dec-05,3.8,2.8,6.3,57.4,2.4,2.9,2.9,1.9,3.3,0.8,100
APTARGROUP INC (Quoted),Current,3,1.8,9,59.1,1.9,6.3,6.3,1.1,9.1,1.2,75
APTARGROUP INC (Quoted),Dec-09,2.6,1.5,10,60.1,2,5.9,5.9,1.4,10.6,1,87.5
APTARGROUP INC (Quoted),Dec-08,2.6,1.5,11.1,63.5,1.8,5.1,5.1,1.2,9.8,1.2,87.5
APTARGROUP INC (Quoted),Dec-07,2.9,1.6,9.4,61,1.9,5.1,5.1,1.1,9.6,1.2,85.7
ARCHER-DANIELS-MIDLAND CO (Quoted),Current,3.7,2.6,5.4,58.6,2,4.1,4.1,1.6,5.3,0.7,77.8
ARCHER-DANIELS-MIDLAND CO (Quoted),Jun-10,3.6,2.4,4.8,57.7,2,4.1,4.1,1.7,5.4,0.7,77.8
ARCHER-DANIELS-MIDLAND CO (Quoted),Jun-09,4.9,3.3,6.5,58,2.1,5.2,5.2,3.4,7,0.9,75
ARCHER-DANIELS-MIDLAND CO (Quoted),Jun-08,4.6,3.3,5.3,57.3,2,4.9,4.9,3.3,6.6,0.9,77.8
ARKANSAS BEST CORP (Quoted),Current,2.4,1.7,17.8,71.4,2.1,11.5,11.5,1.5,6.2,1,100
ARKANSAS BEST CORP (Quoted),Dec-09,2.4,1.9,16.7,70.1,2.1,11.5,11.5,1.5,6.3,1,100
ARKANSAS BEST CORP (Quoted),Dec-08,2.7,2,11.9,69.3,2.3,7.1,7.1,1.5,6.8,0.9,100
ARKANSAS BEST CORP (Quoted),Dec-07,2.4,1.9,14.7,68.1,2.1,11.5,11.5,1.5,6.3,1,100
ARTHUR J GALLAGHER & CO (Quoted),Current,2.4,1.1,8.4,64.9,1.5,7.3,7.3,1.3,8.4,0.7,75
ARTHUR J GALLAGHER & CO (Quoted),Dec-09,2.3,1.1,8.3,63.6,1.3,7.4,7.4,1.2,8.1,0.8,77.8
ARTHUR J GALLAGHER & CO (Quoted),Dec-08,2.4,1.3,8.2,62.5,1.3,7.3,7.3,1.2,8.6,0.8,75
ARTHUR J GALLAGHER & CO (Quoted),Dec-07,2.3,1.3,8.2,62.5,1.5,6.7,6.7,1,8.2,1,75
ASSOCIATED BANC-CORP (Quoted),Current,3.3,1.7,10.3,61.4,1.2,6.7,6.7,2.5,6.8,1.3,66.7
ASSOCIATED BANC-CORP (Quoted),Dec-09,2.4,1.1,10.6,59.4,1.6,6.5,6.5,1.9,6.7,1.5,70
ASSOCIATED BANC-CORP (Quoted),Dec-08,2.4,1.3,11.2,59.4,1.5,7.9,7.9,1.8,7.1,1.4,72.7
ASSOCIATED BANC-CORP (Quoted),Dec-07,2.4,1.3,10.2,58.4,1.5,7.9,7.9,1.8,7.1,1.4,72.7
AT&T INC (SBC Communications prior to 11/2005) (Quoted),Current,6.3,2.4,8.1,65.4,2.1,5.2,5.2,2.4,5.4,1.3,66.7
AT&T INC (SBC Communications prior to 11/2005) (Quoted),Dec-09,6.4,2.6,9.1,66,2.4,6.6,6.6,2.3,3.9,1.5,64.3
AT&T INC (SBC Communications prior to 11/2005) (Quoted),Dec-08,6.4,3.1,8.1,65,2.4,6.6,6.6,2.3,3.9,1.5,64.3
AT&T INC (SBC Communications prior to 11/2005) (Quoted),Dec-07,6.1,3.3,9,65.4,2.5,7.2,7.2,2.2,4,1.5,60
ATLAS ENERGY INC (Atlas America Inc prior to 09/2009) (Quoted),Current,2.2,1.6,3.6,62.5,2,2.5,2.5,0.8,7.9,1.6,66.7
ATLAS ENERGY INC (Atlas America Inc prior to 09/2009) (Quoted),Dec-09,2,1.3,2.3,59,2.1,2.5,2.5,0.8,9.1,1.5,70
ATLAS ENERGY INC (Atlas America Inc prior to 09/2009) (Quoted),Dec-08,1.7,1.2,4.4,57.3,2,0.9,5.5,0.7,10.4,1.5,100
ATLAS ENERGY INC (Atlas America Inc prior to 09/2009) (Quoted),Dec-07,1.7,1.3,3.4,56.3,2,0.9,5.5,0.7,10.4,1.5,100
ATMEL CORP (Quoted),Current,4.6,2.8,3.9,66.6,2.8,1.5,1.5,1,3.7,0.7,100
ATMEL CORP (Quoted),Dec-09,4.2,2.6,2.8,64.6,2.8,1.5,1.5,1.5,3.7,0.7,100
ATMEL CORP (Quoted),Dec-08,4.2,2.8,1.8,63.6,2.8,1.5,1.5,1.5,3.7,0.7,100
ATMEL CORP (Quoted),Dec-07,3.3,2.2,6.1,64.5,2,6.6,6.6,2.1,4.5,1,100
AUTODESK INC (Quoted),Current,3.1,1.7,8.9,59,1.7,8,8,1.5,8.3,0.7,85.7
AUTODESK INC (Quoted),Jan-10,3.7,2.1,8.2,58.7,1.9,7.7,7.7,1.3,7.3,0.6,85.7
AUTODESK INC (Quoted),Jan-09,3.3,1.9,8.5,58.5,1.9,7.9,7.9,1.2,7.2,0.6,87.5
AUTODESK INC (Quoted),Jan-08,3.1,2,7.1,58,1.9,7.1,7.1,1.2,7,0.5,90
AVENTINE RENEWABLE ENERGY HOLDINGS INC (De-listed 03/2009) (Quoted),Mar-09,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
AVENTINE RENEWABLE ENERGY HOLDINGS INC (De-listed 03/2009) (Quoted),Dec-07,2.6,1.3,3.6,57.4,1,1.6,1.6,1.9,10.9,1.1,100
AVENTINE RENEWABLE ENERGY HOLDINGS INC (De-listed 03/2009) (Quoted),Dec-06,2,1.2,3.1,55.3,0.8,1.1,1.1,1.4,11.4,1.1,100
BANK OF AMERICA CORP (Quoted),Current,4.6,2.3,3,65.6,2,2.1,2.1,2,4.7,0.7,83.3
BANK OF AMERICA CORP (Quoted),Dec-09,4.6,2.1,2.9,64.1,2,3.1,3.1,2.2,5.1,0.8,85.7
BANK OF AMERICA CORP (Quoted),Dec-08,4.9,2.2,6,64.3,2.3,3.1,3.1,3,5,2,73.3
BANK OF AMERICA CORP (Quoted),Dec-07,4.9,2.4,4.9,62.8,2.3,3,3,3,5.3,2,75
BE AEROSPACE INC (Quoted),Current,2.3,1.2,14.3,67.5,1.2,8.7,8.7,0.7,4.9,1.1,100
BE AEROSPACE INC (Quoted),Dec-09,2.3,1.2,13.2,65.5,1.2,8.7,8.7,0.7,4.9,1.1,100
BE AEROSPACE INC (Quoted),Dec-08,2.3,1.2,12.2,64.5,1.2,8.7,8.7,0.7,4.9,1.1,100
BE AEROSPACE INC (Quoted),Dec-07,2.2,1.2,11.2,63.5,1.2,8.7,8.7,0.9,4.9,1.1,100
BEACON ROOFING SUPPLY INC (Quoted),Current,4.3,2.3,8.6,64,2.2,3.8,3.8,4.4,10.7,0.7,100
BEACON ROOFING SUPPLY INC (Quoted),Sep-10,4.3,2.5,8.3,63,2.2,3.8,3.8,4.4,10.7,0.7,100
BEACON ROOFING SUPPLY INC (Quoted),Sep-09,4.3,2.7,7.3,62,2.2,3.8,3.8,4.4,10.7,0.7,100
BEACON ROOFING SUPPLY INC (Quoted),Sep-08,4,2.3,6.3,61,2.2,3.8,3.8,4.1,10.7,0.7,100
BELO CORP (Quoted),Current,3.7,2.2,13.2,61.4,1.9,10.3,10.5,1.8,3.9,1,66.7
BELO CORP (Quoted),Dec-09,3.7,2.2,12.1,59.6,1.9,10.3,10.5,1.8,4.1,1,66.7
BELO CORP (Quoted),Dec-08,3.6,2.4,12.6,59.3,1.9,10,9.8,1.9,3.8,1.1,62.5
BELO CORP (Quoted),Dec-07,3,1.9,10.8,60.4,1.9,8.3,8.3,1.9,2.6,1.1,62.5
BERKSHIRE HATHAWAY INC (Quoted),Current,5.3,2.5,9.4,66.9,1.8,6.4,6.4,3,14.3,0.9,80
BERKSHIRE HATHAWAY INC (Quoted),Dec-09,5.2,2.4,8.3,65.4,1.8,6.4,6.4,2.9,14.4,0.9,80
BERKSHIRE HATHAWAY INC (Quoted),Dec-08,5.3,2.4,8.2,66,1.8,6.1,6.1,3.1,14.3,0.9,77.8
BERKSHIRE HATHAWAY INC (Quoted),Dec-07,5.3,2.6,7.2,65,1.8,6.1,6.1,3.1,14.3,0.9,77.8
BEST BUY CO INC (Quoted),Current,2.8,1.4,9.1,58.7,2.1,11,11,2.4,9.5,1.1,80
BEST BUY CO INC (Quoted),Feb-10,2.8,1.4,9.6,59.8,2,11,11.9,2.2,10,1.1,83.3
BEST BUY CO INC (Quoted),Feb-09,2.9,1.5,9.5,60.2,2,11.1,12,2.3,9.4,1.1,90.9
BEST BUY CO INC (Quoted),Mar-08,3.3,1.4,11.6,60.1,2,11.6,11.6,2.4,8.5,0.9,75
BIO RAD LABORATORIES INC (Quoted),Current,2.2,2.2,22.7,72.8,1.2,17.2,21.4,1.5,12,1.2,80
BIO RAD LABORATORIES INC (Quoted),Dec-09,1.8,1.8,27.1,76,1,14.8,19.5,1.3,6.6,1.2,75
BIO RAD LABORATORIES INC (Quoted),Dec-08,2.2,2,22.3,72.4,1.4,15.3,19.7,1.5,7.9,1.4,80
BIO RAD LABORATORIES INC (Quoted),Dec-07,2,1.8,21.3,71.4,1.4,15.3,19.7,1.3,7.9,1.4,80
BMC SOFTWARE INC (Quoted),Current,4.3,2.3,8,57.6,1.8,6.9,6.9,2.6,5.2,0.9,88.9
BMC SOFTWARE INC (Quoted),Mar-10,4,2.1,10.6,58.1,1.5,7.1,7.1,2.5,6,1,87.5
BMC SOFTWARE INC (Quoted),Mar-09,3.9,2.1,9.6,57.1,1.5,7.1,7.1,2.5,6,1,87.5
BMC SOFTWARE INC (Quoted),Mar-08,3.6,2.2,9.8,58.1,1.5,7.9,7.9,2.3,8.3,1,90.9
BOB EVANS FARMS INC (Quoted),Current,2.4,1.4,12.3,60.6,1.9,9.8,14.4,2.8,5.6,0.7,77.8
BOB EVANS FARMS INC (Quoted),Apr-10,2.3,1.4,11.5,59.8,1.9,9.8,14.4,2.8,5.6,0.7,77.8
BOB EVANS FARMS INC (Quoted),Apr-09,1.3,1.3,11.9,58,1.8,9.6,14.4,0.4,5.5,0.7,75
BOB EVANS FARMS INC (Quoted),Apr-08,1.3,1.3,14.4,59.5,1.6,9.9,14.1,0.4,7,0.7,87.5
BOEING CO (Quoted),Current,5.2,2.3,6.6,62.3,1.8,5.7,5.7,2.6,6.8,0.6,83.3
BOEING CO (Quoted),Dec-09,4.6,2.1,7.1,61.7,1.6,5.2,5.2,2.7,6.8,0.5,90
BOEING CO (Quoted),Dec-08,5,2.1,7.8,62,1.8,4.5,4.5,2.8,6.7,0.4,87.5
BOEING CO (Quoted),Dec-07,5.1,2.7,6.5,62.3,1.9,5.4,5.4,2.7,6.5,0.5,81.8
BOSTON PROPERTIES INC (Quoted),Current,2.9,1.4,8,64,2.4,4.1,4.1,2.4,7.3,0.7,71.4
BOSTON PROPERTIES INC (Quoted),Dec-09,2.5,1.4,7.6,61.5,2.1,3.9,3.9,2.2,7.1,0.8,75
BOSTON PROPERTIES INC (Quoted),Dec-08,2.5,1.4,6.6,60.5,2.1,3.9,3.9,2.2,7.1,0.8,75
BOSTON PROPERTIES INC (Quoted),Dec-07,2.4,1.3,6.5,60.3,2.3,3.2,3.2,2.4,7.2,0.7,71.4
BOYD GAMING CORP (Quoted),Current,2.2,1.5,7.3,64.5,2.8,3.6,4.6,1.5,6.4,1.9,66.7
BOYD GAMING CORP (Quoted),Dec-09,2.2,1.5,6.2,62.8,2.8,3.6,4.6,1.5,6.8,1.9,66.7
BOYD GAMING CORP (Quoted),Dec-08,2.3,1.5,7.2,63.2,2.7,3.3,4.1,1.1,5.3,1.9,83.3
BOYD GAMING CORP (Quoted),Dec-07,2.1,1.4,5.9,62.9,2.4,3.1,3.9,1.1,5.2,1.8,85.7
CALUMET SPECIALTY PRODUCTS PARTNERS LP (Quoted),Current,1.2,1.2,4.5,61,1.7,1.3,1.3,0.4,2.8,0.7,100
CALUMET SPECIALTY PRODUCTS PARTNERS LP (Quoted),Dec-09,1.2,1.2,3.4,59,1.7,1.3,1.3,0.4,2.8,0.7,100
CALUMET SPECIALTY PRODUCTS PARTNERS LP (Quoted),Dec-08,2.5,2,3,59,1.3,0.1,0.1,2.9,1.7,0.5,100
CALUMET SPECIALTY PRODUCTS PARTNERS LP (Quoted),Dec-07,2.3,2.2,2,58,1.3,0.1,0.1,3,1.7,0.5,100
CARDINAL HEALTH INC (Quoted),Current,3.3,2.3,5.7,61.1,2.2,5,5,1.6,4.2,0.6,72.7
CARDINAL HEALTH INC (Quoted),Jun-10,3.3,2.3,5.1,60.2,2.2,5,5,1.6,4.2,0.6,72.7
CARDINAL HEALTH INC (Quoted),Jun-09,4.2,2.5,8.7,59.9,2.1,6.2,6.2,2.7,3.4,0.5,81.8
CARDINAL HEALTH INC (Quoted),Jun-08,4.8,2.7,10.1,60.1,2.2,9.7,9.7,3,4.4,0.5,84.6
CAREER EDUCATION CORP (Quoted),Current,3.9,2.6,5.5,61,2.5,3.4,3.4,4.2,8.5,1.3,87.5
CAREER EDUCATION CORP (Quoted),Dec-09,3.8,2.5,4.4,59.4,2.5,3.4,3.4,4,8.5,1.3,87.5
CAREER EDUCATION CORP (Quoted),Dec-08,3.6,2.4,3.4,58.4,2.5,3.4,3.4,3.8,8.5,1.3,87.5
CAREER EDUCATION CORP (Quoted),Dec-07,4,2.3,5.8,61,2.7,4.6,4.6,4.2,5.5,1.5,83.3
CARTERS INC (Quoted),Current,3.2,1.7,4.1,64,1.3,2.8,2.8,2.8,10.6,0.5,77.8
CARTERS INC (Quoted),Jan-10,3.5,1.8,4.4,66.1,1.4,2.3,2.3,2.9,7.4,0.5,87.5
CARTERS INC (Quoted),Jan-09,3.9,2,4.1,65.9,1.4,1.9,1.9,2.9,7.6,0.5,100
CARTERS INC (Quoted),Dec-07,3.9,2,3.5,61.3,1.6,1.3,1.3,2.9,10.6,0.7,85.7
CATERPILLAR INC (Quoted),Current,5.2,2.6,9.3,63.3,2.9,6.2,6.2,3,6.2,0.7,92.3
CATERPILLAR INC (Quoted),Dec-09,5.6,2.7,10.3,63.7,2.8,4.9,4.9,2.8,6.4,0.7,85.7
CATERPILLAR INC (Quoted),Dec-08,5.5,2.8,10,63.5,2.8,4.3,4.3,3,6,0.7,92.3
CATERPILLAR INC (Quoted),Dec-07,5.4,2.8,9,62.5,2.8,4.3,4.3,3,6,0.7,92.3
CENTENE CORPORATION (Quoted),Current,3.6,2.4,6.8,64.4,1.6,3.6,3.6,2.3,9,0.9,85.7
CENTENE CORPORATION (Quoted),Dec-09,3.3,2.3,5.7,62.6,1.5,3.4,3.4,2,8.5,0.9,87.5
CENTENE CORPORATION (Quoted),Dec-08,2.9,2.3,4.7,61.6,1.5,3.4,3.4,1.5,8.5,0.9,87.5
CENTENE CORPORATION (Quoted),Dec-07,2.6,2,3.7,60.6,1.5,3.4,3.4,1.1,8.5,0.9,87.5
CENTRAL GARDEN & PET CO (Quoted),Current,3.8,1.5,6.4,65.3,2,3.4,3.4,2.5,0.8,0,100
CENTRAL GARDEN & PET CO (Quoted),Sep-10,3.8,1.5,6.1,64.5,2,3.4,3.4,2.5,0.5,0,100
CENTRAL GARDEN & PET CO (Quoted),Sep-09,4.3,1.7,6.9,63.7,2,1.1,1.1,2.6,0.5,0,100
CENTRAL GARDEN & PET CO (Quoted),Sep-08,4.3,1.7,5.9,62.7,2,1.1,1.1,2.6,0.5,0,100
CEPHALON INC (Quoted),Current,8.1,2.9,12.2,68,1.9,5.9,5.9,4,4.5,0.6,85.7
CEPHALON INC (Quoted),Dec-09,8.1,3,11.1,66.4,1.9,5.9,5.9,4,4.7,0.6,85.7
CEPHALON INC (Quoted),Dec-08,7.6,3.3,10.1,65.4,1.9,5.9,5.9,4,4.7,0.6,85.7
CEPHALON INC (Quoted),Dec-07,7.4,3.3,9.1,64.4,1.9,5.9,5.9,4,4.7,0.6,85.7
CERIDIAN CORP (De-listed 11/2007) (Quoted),Nov-07,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
CERIDIAN CORP (De-listed 11/2007) (Quoted),Dec-06,4.4,2,3.3,62.3,2.4,2.4,2.4,2.4,3.6,1,100
CERIDIAN CORP (De-listed 11/2007) (Quoted),Dec-05,5.2,2.2,3.4,62.8,2,1.7,1.7,2.4,3.2,0,100
CERIDIAN CORP (De-listed 11/2007) (Quoted),Dec-04,4.7,1.8,3.4,61.3,2,0.8,0.8,2.1,3.4,0,83.3
CHAPARRAL STEEL CO (De-listed 09/2007) (Quoted),Sep-07,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
CHAPARRAL STEEL CO (De-listed 09/2007) (Quoted),May-06,4.7,2.8,0.7,63.6,2.1,0.3,0.3,3.1,5.2,1,85.7
CHEESECAKE FACTORY (Quoted),Current,4,1.5,7.2,65.5,1.3,6.4,6.4,2.8,6.7,1.2,83.3
CHEESECAKE FACTORY (Quoted),Dec-09,3.4,1.4,5.7,63.6,1.6,6,6,2.6,6.2,1.3,85.7
CHEESECAKE FACTORY (Quoted),Dec-08,3,1.3,7.1,64.7,1.4,6.8,6.8,2.5,6.1,1.2,85.7
CHEESECAKE FACTORY (Quoted),Jan-08,1.8,1.4,8.6,67.4,1.6,6.6,6.6,0.4,4.1,1.4,80
CHEVRON CORP (ChevronTexaco prior to 05/2005) (Quoted),Current,5.1,2.6,8.5,65.9,2.6,7.4,7.4,2.4,5.3,0.9,92.9
CHEVRON CORP (ChevronTexaco prior to 05/2005) (Quoted),Dec-09,5.4,2.8,8.8,65.7,2.8,7.2,7.2,2.3,5.1,0.9,91.7
CHEVRON CORP (ChevronTexaco prior to 05/2005) (Quoted),Dec-08,5.7,2.8,8.7,65.2,2.8,7.6,7.6,2.4,5.2,0.9,92.3
CHEVRON CORP (ChevronTexaco prior to 05/2005) (Quoted),Dec-07,5.5,2.8,8.4,65.2,2.8,7.5,7.5,2.4,4,1,91.7
CHICO'S FAS INC (Quoted),Current,7.4,2.1,7.9,63.8,2.3,6.1,6.1,5,7.2,1,62.5
CHICO'S FAS INC (Quoted),Jan-10,7.3,2.3,6.6,61.5,2.5,4.7,4.7,5.7,7.9,1,66.7
CHICO'S FAS INC (Quoted),Jan-09,7,2,8.2,62.7,2.2,5.2,5.2,5.4,7.6,1.1,66.7
CHICO'S FAS INC (Quoted),Feb-08,6.4,1.9,6.4,61.1,2,5.3,5.3,5.2,7.1,1.1,71.4
